price,room_type,accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,amenities,has_reviews,amenities_count,log_price
52.0,Private room,2,1.0,1.0,1.0,35.62277,-82.50258,28805,4.66,4.77,4.82,4.81,0,0,"[""Garden view"", ""Clothing storage: closet"", ""Coffee maker"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""Carbon monoxide alarm"", ""Hot water"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Shared backyard \u2013 Not fully fenced"", ""Shared patio or balcony"", ""Refrigerator"", ""Shampoo"", ""Oven"", ""Bed linens"", ""Mountain view"", ""Stove"", ""BBQ grill"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Free dryer \u2013 In building"", ""Heating"", ""Body soap"", ""Hair dryer"", ""Bathtub"", ""Microwave""]",1,36,3.970291913552122
247.0,Private room,2,1.0,2.0,1.0,35.57468,-82.55705,28801,4.79,4.93,4.79,4.5,0,1,"[""Mini fridge"", ""Coffee maker"", ""Ceiling fan"", ""Wifi"", ""Breakfast"", ""Smoke alarm"", ""Clothing storage: dresser"", ""Self check-in"", ""Air conditioning"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Keypad"", ""TV with standard cable"", ""Essentials"", ""Lock on bedroom door"", ""Shampoo"", ""Pets allowed"", ""Bed linens"", ""Free parking on premises"", ""Washer"", ""Heating"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Conditioner""]",1,26,5.5134287461649825
64.0,Entire home/apt,4,2.0,2.0,1.0,35.64371,-82.52456,28804,4.87,4.9,4.85,4.91,1,0,"[""Clothing storage: closet"", ""Wine glasses"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Hammock"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""BBQ grill: gas"", ""Air conditioning"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hot water"", ""Host greets you"", ""Private patio or balcony"", ""Books and reading material"", ""Cooking basics"", ""Single level home"", ""Trane conditioner"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Oven"", ""Bed linens"", ""TV with Apple TV"", ""Stove"", ""Kitchen"", ""Indoor fireplace: wood-burning"", ""Hangers"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Private entrance"", ""Fire pit"", ""First aid kit"", ""Barbecue utensils"", ""Private backyard \u2013 Not fully fenced"", ""Heating"", ""Portable fans"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Coffee maker: drip coffee maker""]",1,45,4.174387269895637
241.0,Entire home/apt,4,2.0,2.0,2.0,35.58371,-82.56111,28801,4.99,5.0,4.84,4.88,1,0,"[""Coffee maker"", ""Ceiling fan"", ""Toaster"", ""Coffee"", ""Wine glasses"", ""Wifi"", ""Dishwasher"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Baking sheet"", ""Self check-in"", ""Air conditioning"", ""Outdoor furniture"", ""Shower gel"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""Dining table"", ""Smart lock"", ""Free street parking"", ""Private patio or balcony"", ""Books and reading material"", ""Cooking basics"", ""Single level home"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Hot water kettle"", ""Oven"", ""Freezer"", ""Bed linens"", ""Mountain view"", ""Stove"", ""BBQ grill"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Washer"", ""Blender"", ""Private entrance"", ""HDTV with standard cable"", ""First aid kit"", ""Barbecue utensils"", ""Heating"", ""Body soap"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Conditioner""]",1,55,5.488937726156687
169.0,Entire home/apt,6,3.0,4.0,1.5,35.643550872802734,-82.51139831542969,28804,4.73,4.74,4.84,4.75,0,0,"[""Bidet"", ""Clothing storage: closet"", ""Coffee maker"", ""Outdoor dining area"", ""Ceiling fan"", ""Toaster"", ""Cleaning products"", ""Wine glasses"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Lockbox"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""Self check-in"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Hot water"", ""Dedicated workspace"", ""Dining table"", ""Central air conditioning"", ""Private patio or balcony"", ""Books and reading material"", ""Sound system"", ""Cooking basics"", ""Essentials"", ""TV"", ""Iron"", ""Refrigerator"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Oven"", ""Freezer"", ""Bed linens"", ""Stove"", ""Hot water kettle"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Board games"", ""Private backyard \u2013 Not fully fenced"", ""Central heating"", ""Portable fans"", ""Body soap"", ""Hair dryer"", ""Bathtub"", ""Microwave""]",1,48,5.135798437050262
50.0,Private room,2,1.0,1.0,1.0,35.58513,-82.50484,28805,4.72,4.35,4.87,4.76,0,0,"[""Cooking basics"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Free parking on premises"", ""Dryer"", ""Refrigerator"", ""Microwave"", ""Pets allowed"", ""Indoor fireplace"", ""Oven"", ""Kitchen"", ""Dishes and silverware"", ""Washer""]",1,14,3.9318256327243257
82.0,Entire home/apt,2,0.0,1.0,1.0,35.56754,-82.59657,28806,4.89,4.9,4.92,4.82,1,0,"[""Mini fridge"", ""Outdoor dining area"", ""Toaster"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Wifi"", ""Smoke alarm"", ""Dishes and silverware"", ""Lockbox"", ""IKEA  induction stove"", ""Self check-in"", ""Outdoor furniture"", ""Free washer \u2013 In building"", ""Park view"", ""Shower gel"", ""Hot water"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Dining table"", ""Central air conditioning"", ""Clothing storage: wardrobe"", ""Luggage dropoff allowed"", ""Free street parking"", ""Mosquito net"", ""Private patio or balcony"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Bluetooth sound system"", ""Hot water kettle"", ""BBQ grill: charcoal"", ""Bed linens"", ""Trader Joe\u2019s  conditioner"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Free dryer \u2013 In building"", ""Private entrance"", ""Fire pit"", ""Trader Joe\u2019s shampoo"", ""Barbecue utensils"", ""Private backyard \u2013 Not fully fenced"", ""Heating"", ""Bikes"", ""Trader Joes body soap"", ""Portable fans"", ""Microwave"", ""Hair dryer"", ""Coffee maker: drip coffee maker"", ""Room-darkening shades""]",1,51,4.418840607796598
68.0,Private room,2,1.0,1.0,1.0,35.57244,-82.58949,28806,4.95,4.99,4.92,4.91,1,0,"[""Mini fridge"", ""Garden view"", ""Clothing storage: closet"", ""Coffee"", ""Wine glasses"", ""Smoke alarm"", ""Dishes and silverware"", ""Lockbox"", ""Self check-in"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hot water"", ""Fast wifi \u2013 68 Mbps"", ""Coffee maker: Keurig coffee machine"", ""Dedicated workspace"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Free street parking"", ""Books and reading material"", ""Single level home"", ""Essentials"", ""Iron"", ""Shampoo"", ""Bed linens"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Extra pillows and blankets"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""First aid kit"", ""Laundromat nearby"", ""Heating"", ""Portable fans"", ""Body soap"", ""Microwave"", ""Bathtub"", ""Conditioner"", ""Room-darkening shades""]",1,39,4.23410650459726
193.0,Entire home/apt,6,3.0,3.0,1.5,35.60991,-82.57838,28806,4.66,4.76,4.87,4.57,0,0,"[""Outdoor dining area"", ""Coffee maker"", ""Wifi"", ""Dishwasher"", ""Fire extinguisher"", ""Smoke alarm"", ""Dishes and silverware"", ""Lockbox"", ""Self check-in"", ""Air conditioning"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hot water"", ""Dedicated workspace"", ""Backyard"", ""Private patio or balcony"", ""Cooking basics"", ""Essentials"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Oven"", ""Bed linens"", ""Stove"", ""BBQ grill"", ""Kitchen"", ""Indoor fireplace: wood-burning"", ""Hangers"", ""Extra pillows and blankets"", ""Free parking on premises"", ""First aid kit"", ""Heating"", ""TV with standard cable, Netflix"", ""Microwave"", ""Hair dryer""]",1,37,5.267858159063328
127.0,Entire home/apt,2,1.0,1.0,1.0,35.55542,-82.48316,28803,4.96,4.99,4.85,4.94,0,0,"[""Toaster"", ""Coffee"", ""Cleaning products"", ""Wine glasses"", ""Wifi"", ""Breakfast"", ""Fire extinguisher"", ""Smoke alarm"", ""Organix Coconut Milk shampoo"", ""Dishes and silverware"", ""Kenmore stainless steel oven"", ""BBQ grill: gas"", ""Air conditioning"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Hot water"", ""Shea Moisture body soap"", ""Dedicated workspace"", ""Organix Coconut Milk  conditioner"", ""Single level home"", ""Cooking basics"", ""Essentials"", ""40 inch HDTV"", ""Iron"", ""Hot water kettle"", ""Freezer"", ""Bed linens"", ""Kitchen"", ""Indoor fireplace: wood-burning"", ""Hangers"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Private entrance"", ""Barbecue utensils"", ""Heating"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Coffee maker: drip coffee maker"", ""Kenmore electric stove"", ""Whirlpool  refrigerator""]",1,41,4.852030263919617
